spot,utc_time
101.54,2022-01-01 00:00:00+00:00
52.13,2022-01-01 01:00:00+00:00
20.78,2022-01-01 02:00:00+00:00
15.66,2022-01-01 03:00:00+00:00
21.47,2022-01-01 04:00:00+00:00
29.89,2022-01-01 05:00:00+00:00
95.33,2022-01-01 06:00:00+00:00
95.36,2022-01-01 07:00:00+00:00
95.43,2022-01-01 08:00:00+00:00
68.42,2022-01-01 09:00:00+00:00
60.88,2022-01-01 10:00:00+00:00
70.72,2022-01-01 11:00:00+00:00
74.99,2022-01-01 12:00:00+00:00
87.46,2022-01-01 13:00:00+00:00
100.16,2022-01-01 14:00:00+00:00
120.09,2022-01-01 15:00:00+00:00
148.89,2022-01-01 16:00:00+00:00
142.3,2022-01-01 17:00:00+00:00
137.76,2022-01-01 18:00:00+00:00
128.55,2022-01-01 19:00:00+00:00
140.62,2022-01-01 20:00:00+00:00
144.49,2022-01-01 21:00:00+00:00
141.77,2022-01-01 22:00:00+00:00
88.51,2022-01-01 23:00:00+00:00
75.04,2022-01-02 00:00:00+00:00
45.38,2022-01-02 01:00:00+00:00
23.7,2022-01-02 02:00:00+00:00
15.84,2022-01-02 03:00:00+00:00
23.98,2022-01-02 04:00:00+00:00
35.88,2022-01-02 05:00:00+00:00
49.0,2022-01-02 06:00:00+00:00
75.05,2022-01-02 07:00:00+00:00
86.01,2022-01-02 08:00:00+00:00
75.92,2022-01-02 09:00:00+00:00
69.91,2022-01-02 10:00:00+00:00
75.04,2022-01-02 11:00:00+00:00
48.76,2022-01-02 12:00:00+00:00
58.25,2022-01-02 13:00:00+00:00
86.25,2022-01-02 14:00:00+00:00
91.51,2022-01-02 15:00:00+00:00
126.25,2022-01-02 16:00:00+00:00
125.88,2022-01-02 17:00:00+00:00
110.73,2022-01-02 18:00:00+00:00
90.9,2022-01-02 19:00:00+00:00
89.78,2022-01-02 20:00:00+00:00
89.44,2022-01-02 21:00:00+00:00
87.38,2022-01-02 22:00:00+00:00
62.55,2022-01-02 23:00:00+00:00
9.66,2022-01-03 00:00:00+00:00
16.68,2022-01-03 01:00:00+00:00
0.95,2022-01-03 02:00:00+00:00
9.05,2022-01-03 03:00:00+00:00
78.6,2022-01-03 04:00:00+00:00
141.86,2022-01-03 05:00:00+00:00
199.4,2022-01-03 06:00:00+00:00
214.58,2022-01-03 07:00:00+00:00
215.73,2022-01-03 08:00:00+00:00
211.58,2022-01-03 09:00:00+00:00
206.34,2022-01-03 10:00:00+00:00
194.83,2022-01-03 11:00:00+00:00
191.96,2022-01-03 12:00:00+00:00
204.1,2022-01-03 13:00:00+00:00
207.37,2022-01-03 14:00:00+00:00
224.46,2022-01-03 15:00:00+00:00
220.21,2022-01-03 16:00:00+00:00
214.11,2022-01-03 17:00:00+00:00
204.11,2022-01-03 18:00:00+00:00
201.1,2022-01-03 19:00:00+00:00
196.13,2022-01-03 20:00:00+00:00
165.78,2022-01-03 21:00:00+00:00
146.55,2022-01-03 22:00:00+00:00
127.03,2022-01-03 23:00:00+00:00
111.97,2022-01-04 00:00:00+00:00
101.04,2022-01-04 01:00:00+00:00
97.75,2022-01-04 02:00:00+00:00
100.79,2022-01-04 03:00:00+00:00
122.72,2022-01-04 04:00:00+00:00
160.34,2022-01-04 05:00:00+00:00
197.84,2022-01-04 06:00:00+00:00
210.65,2022-01-04 07:00:00+00:00
212.8,2022-01-04 08:00:00+00:00
207.99,2022-01-04 09:00:00+00:00
204.26,2022-01-04 10:00:00+00:00
191.3,2022-01-04 11:00:00+00:00
189.33,2022-01-04 12:00:00+00:00
193.5,2022-01-04 13:00:00+00:00
199.93,2022-01-04 14:00:00+00:00
206.99,2022-01-04 15:00:00+00:00
201.94,2022-01-04 16:00:00+00:00
205.8,2022-01-04 17:00:00+00:00
205.62,2022-01-04 18:00:00+00:00
191.63,2022-01-04 19:00:00+00:00
169.45,2022-01-04 20:00:00+00:00
152.84,2022-01-04 21:00:00+00:00
135.74,2022-01-04 22:00:00+00:00
141.44,2022-01-04 23:00:00+00:00
117.12,2022-01-05 00:00:00+00:00
106.61,2022-01-05 01:00:00+00:00
92.61,2022-01-05 02:00:00+00:00
91.26,2022-01-05 03:00:00+00:00
105.97,2022-01-05 04:00:00+00:00
159.64,2022-01-05 05:00:00+00:00
194.54,2022-01-05 06:00:00+00:00
206.37,2022-01-05 07:00:00+00:00
205.44,2022-01-05 08:00:00+00:00
203.82,2022-01-05 09:00:00+00:00
201.63,2022-01-05 10:00:00+00:00
194.5,2022-01-05 11:00:00+00:00
192.41,2022-01-05 12:00:00+00:00
192.94,2022-01-05 13:00:00+00:00
195.36,2022-01-05 14:00:00+00:00
199.46,2022-01-05 15:00:00+00:00
226.14,2022-01-05 16:00:00+00:00
242.29,2022-01-05 17:00:00+00:00
237.67,2022-01-05 18:00:00+00:00
206.79,2022-01-05 19:00:00+00:00
193.23,2022-01-05 20:00:00+00:00
189.35,2022-01-05 21:00:00+00:00
180.55,2022-01-05 22:00:00+00:00
195.42,2022-01-05 23:00:00+00:00
177.06,2022-01-06 00:00:00+00:00
170.93,2022-01-06 01:00:00+00:00
155.39,2022-01-06 02:00:00+00:00
155.83,2022-01-06 03:00:00+00:00
166.57,2022-01-06 04:00:00+00:00
197.53,2022-01-06 05:00:00+00:00
236.8,2022-01-06 06:00:00+00:00
249.1,2022-01-06 07:00:00+00:00
247.19,2022-01-06 08:00:00+00:00
250.47,2022-01-06 09:00:00+00:00
241.05,2022-01-06 10:00:00+00:00
238.27,2022-01-06 11:00:00+00:00
239.2,2022-01-06 12:00:00+00:00
234.08,2022-01-06 13:00:00+00:00
239.49,2022-01-06 14:00:00+00:00
245.98,2022-01-06 15:00:00+00:00
266.28,2022-01-06 16:00:00+00:00
265.48,2022-01-06 17:00:00+00:00
250.34,2022-01-06 18:00:00+00:00
241.79,2022-01-06 19:00:00+00:00
221.43,2022-01-06 20:00:00+00:00
209.25,2022-01-06 21:00:00+00:00
198.12,2022-01-06 22:00:00+00:00
202.49,2022-01-06 23:00:00+00:00
197.5,2022-01-07 00:00:00+00:00
189.14,2022-01-07 01:00:00+00:00
175.92,2022-01-07 02:00:00+00:00
170.53,2022-01-07 03:00:00+00:00
182.93,2022-01-07 04:00:00+00:00
207.97,2022-01-07 05:00:00+00:00
247.17,2022-01-07 06:00:00+00:00
266.58,2022-01-07 07:00:00+00:00
265.83,2022-01-07 08:00:00+00:00
256.87,2022-01-07 09:00:00+00:00
245.52,2022-01-07 10:00:00+00:00
241.58,2022-01-07 11:00:00+00:00
232.38,2022-01-07 12:00:00+00:00
230.92,2022-01-07 13:00:00+00:00
235.29,2022-01-07 14:00:00+00:00
246.03,2022-01-07 15:00:00+00:00
258.9,2022-01-07 16:00:00+00:00
266.56,2022-01-07 17:00:00+00:00
256.67,2022-01-07 18:00:00+00:00
239.02,2022-01-07 19:00:00+00:00
223.79,2022-01-07 20:00:00+00:00
213.85,2022-01-07 21:00:00+00:00
211.64,2022-01-07 22:00:00+00:00
215.25,2022-01-07 23:00:00+00:00
