spot,utc_time,action
101.54,2022-01-01 00:00:00+00:00,0
52.13,2022-01-01 01:00:00+00:00,-1
20.78,2022-01-01 02:00:00+00:00,-1
15.66,2022-01-01 03:00:00+00:00,-1
21.47,2022-01-01 04:00:00+00:00,-1
29.89,2022-01-01 05:00:00+00:00,-1
95.33,2022-01-01 06:00:00+00:00,-1
95.36,2022-01-01 07:00:00+00:00,0
95.43,2022-01-01 08:00:00+00:00,-1
68.42,2022-01-01 09:00:00+00:00,0
60.88,2022-01-01 10:00:00+00:00,-1
70.72,2022-01-01 11:00:00+00:00,-1
74.99,2022-01-01 12:00:00+00:00,-1
87.46,2022-01-01 13:00:00+00:00,0
100.16,2022-01-01 14:00:00+00:00,1
120.09,2022-01-01 15:00:00+00:00,0
148.89,2022-01-01 16:00:00+00:00,1
142.3,2022-01-01 17:00:00+00:00,1
137.76,2022-01-01 18:00:00+00:00,0
128.55,2022-01-01 19:00:00+00:00,1
140.62,2022-01-01 20:00:00+00:00,1
144.49,2022-01-01 21:00:00+00:00,1
141.77,2022-01-01 22:00:00+00:00,1
88.51,2022-01-01 23:00:00+00:00,0
75.04,2022-01-02 00:00:00+00:00,0
45.38,2022-01-02 01:00:00+00:00,-1
23.7,2022-01-02 02:00:00+00:00,-1
15.84,2022-01-02 03:00:00+00:00,-1
23.98,2022-01-02 04:00:00+00:00,-1
35.88,2022-01-02 05:00:00+00:00,-1
49.0,2022-01-02 06:00:00+00:00,-1
75.05,2022-01-02 07:00:00+00:00,0
86.01,2022-01-02 08:00:00+00:00,0
75.92,2022-01-02 09:00:00+00:00,0
69.91,2022-01-02 10:00:00+00:00,-1
75.04,2022-01-02 11:00:00+00:00,-1
48.76,2022-01-02 12:00:00+00:00,-1
58.25,2022-01-02 13:00:00+00:00,-1
86.25,2022-01-02 14:00:00+00:00,0
91.51,2022-01-02 15:00:00+00:00,0
126.25,2022-01-02 16:00:00+00:00,1
125.88,2022-01-02 17:00:00+00:00,1
110.73,2022-01-02 18:00:00+00:00,0
90.9,2022-01-02 19:00:00+00:00,0
89.78,2022-01-02 20:00:00+00:00,-1
89.44,2022-01-02 21:00:00+00:00,1
87.38,2022-01-02 22:00:00+00:00,0
62.55,2022-01-02 23:00:00+00:00,-1
9.66,2022-01-03 00:00:00+00:00,-1
16.68,2022-01-03 01:00:00+00:00,-1
0.95,2022-01-03 02:00:00+00:00,-1
9.05,2022-01-03 03:00:00+00:00,-1
78.6,2022-01-03 04:00:00+00:00,0
141.86,2022-01-03 05:00:00+00:00,0
199.4,2022-01-03 06:00:00+00:00,1
214.58,2022-01-03 07:00:00+00:00,1
215.73,2022-01-03 08:00:00+00:00,1
211.58,2022-01-03 09:00:00+00:00,0
206.34,2022-01-03 10:00:00+00:00,1
194.83,2022-01-03 11:00:00+00:00,0
191.96,2022-01-03 12:00:00+00:00,0
204.1,2022-01-03 13:00:00+00:00,0
207.37,2022-01-03 14:00:00+00:00,1
224.46,2022-01-03 15:00:00+00:00,1
220.21,2022-01-03 16:00:00+00:00,1
214.11,2022-01-03 17:00:00+00:00,1
204.11,2022-01-03 18:00:00+00:00,0
201.1,2022-01-03 19:00:00+00:00,0
196.13,2022-01-03 20:00:00+00:00,0
165.78,2022-01-03 21:00:00+00:00,0
146.55,2022-01-03 22:00:00+00:00,-1
127.03,2022-01-03 23:00:00+00:00,0
111.97,2022-01-04 00:00:00+00:00,-1
101.04,2022-01-04 01:00:00+00:00,-1
97.75,2022-01-04 02:00:00+00:00,-1
100.79,2022-01-04 03:00:00+00:00,-1
122.72,2022-01-04 04:00:00+00:00,-1
160.34,2022-01-04 05:00:00+00:00,0
197.84,2022-01-04 06:00:00+00:00,0
210.65,2022-01-04 07:00:00+00:00,1
212.8,2022-01-04 08:00:00+00:00,1
207.99,2022-01-04 09:00:00+00:00,1
204.26,2022-01-04 10:00:00+00:00,0
191.3,2022-01-04 11:00:00+00:00,0
189.33,2022-01-04 12:00:00+00:00,-1
193.5,2022-01-04 13:00:00+00:00,0
199.93,2022-01-04 14:00:00+00:00,0
206.99,2022-01-04 15:00:00+00:00,0
201.94,2022-01-04 16:00:00+00:00,0
205.8,2022-01-04 17:00:00+00:00,1
205.62,2022-01-04 18:00:00+00:00,0
191.63,2022-01-04 19:00:00+00:00,0
169.45,2022-01-04 20:00:00+00:00,0
152.84,2022-01-04 21:00:00+00:00,-1
135.74,2022-01-04 22:00:00+00:00,-1
141.44,2022-01-04 23:00:00+00:00,-1
117.12,2022-01-05 00:00:00+00:00,-1
106.61,2022-01-05 01:00:00+00:00,-1
92.61,2022-01-05 02:00:00+00:00,-1
91.26,2022-01-05 03:00:00+00:00,-1
105.97,2022-01-05 04:00:00+00:00,-1
159.64,2022-01-05 05:00:00+00:00,-1
194.54,2022-01-05 06:00:00+00:00,0
206.37,2022-01-05 07:00:00+00:00,0
205.44,2022-01-05 08:00:00+00:00,0
203.82,2022-01-05 09:00:00+00:00,0
201.63,2022-01-05 10:00:00+00:00,0
194.5,2022-01-05 11:00:00+00:00,0
192.41,2022-01-05 12:00:00+00:00,0
192.94,2022-01-05 13:00:00+00:00,0
195.36,2022-01-05 14:00:00+00:00,0
199.46,2022-01-05 15:00:00+00:00,0
226.14,2022-01-05 16:00:00+00:00,1
242.29,2022-01-05 17:00:00+00:00,0
237.67,2022-01-05 18:00:00+00:00,1
206.79,2022-01-05 19:00:00+00:00,0
193.23,2022-01-05 20:00:00+00:00,0
189.35,2022-01-05 21:00:00+00:00,0
180.55,2022-01-05 22:00:00+00:00,0
195.42,2022-01-05 23:00:00+00:00,0
177.06,2022-01-06 00:00:00+00:00,0
170.93,2022-01-06 01:00:00+00:00,0
155.39,2022-01-06 02:00:00+00:00,-1
155.83,2022-01-06 03:00:00+00:00,-1
166.57,2022-01-06 04:00:00+00:00,-1
197.53,2022-01-06 05:00:00+00:00,0
236.8,2022-01-06 06:00:00+00:00,0
249.1,2022-01-06 07:00:00+00:00,0
247.19,2022-01-06 08:00:00+00:00,1
250.47,2022-01-06 09:00:00+00:00,1
241.05,2022-01-06 10:00:00+00:00,0
238.27,2022-01-06 11:00:00+00:00,0
239.2,2022-01-06 12:00:00+00:00,1
234.08,2022-01-06 13:00:00+00:00,0
239.49,2022-01-06 14:00:00+00:00,0
245.98,2022-01-06 15:00:00+00:00,1
266.28,2022-01-06 16:00:00+00:00,1
265.48,2022-01-06 17:00:00+00:00,1
250.34,2022-01-06 18:00:00+00:00,1
241.79,2022-01-06 19:00:00+00:00,0
221.43,2022-01-06 20:00:00+00:00,0
209.25,2022-01-06 21:00:00+00:00,0
198.12,2022-01-06 22:00:00+00:00,-1
202.49,2022-01-06 23:00:00+00:00,-1
197.5,2022-01-07 00:00:00+00:00,0
189.14,2022-01-07 01:00:00+00:00,-1
175.92,2022-01-07 02:00:00+00:00,-1
170.53,2022-01-07 03:00:00+00:00,-1
182.93,2022-01-07 04:00:00+00:00,-1
207.97,2022-01-07 05:00:00+00:00,0
247.17,2022-01-07 06:00:00+00:00,1
266.58,2022-01-07 07:00:00+00:00,1
265.83,2022-01-07 08:00:00+00:00,1
256.87,2022-01-07 09:00:00+00:00,1
245.52,2022-01-07 10:00:00+00:00,0
241.58,2022-01-07 11:00:00+00:00,0
232.38,2022-01-07 12:00:00+00:00,0
230.92,2022-01-07 13:00:00+00:00,0
235.29,2022-01-07 14:00:00+00:00,0
246.03,2022-01-07 15:00:00+00:00,1
258.9,2022-01-07 16:00:00+00:00,0
266.56,2022-01-07 17:00:00+00:00,1
256.67,2022-01-07 18:00:00+00:00,1
239.02,2022-01-07 19:00:00+00:00,0
223.79,2022-01-07 20:00:00+00:00,0
213.85,2022-01-07 21:00:00+00:00,0
211.64,2022-01-07 22:00:00+00:00,0
215.25,2022-01-07 23:00:00+00:00,0
